1	-2.090170	1.000000	-0.545085	0.167320
2	-0.909830	1.000000	0.045085	0.545085
3	-0.909830	0.270510	-0.319660	0.045085
4	-0.458980	0.270510	-0.094235	0.319660
5	-0.180340	0.270510	0.045085	0.094235
6	-0.180340	0.098301	-0.041020	0.045085
7	-0.073909	0.098301	0.012196	0.041020
8	-0.073909	0.032522	-0.020693	0.012196
9	-0.033256	0.032522	-0.000367	0.020693
10	-0.008131	0.032522	0.012196	0.000367
11	-0.008131	0.016994	0.004432	0.012196
12	-0.008131	0.007397	-0.000367	0.004432
13	-0.002199	0.007397	0.002599	0.000367
14	-0.002199	0.003732	0.000766	0.002599
15	-0.002199	0.001466	-0.000367	0.000766
16	-0.000799	0.001466	0.000334	0.000367
17	-0.000799	0.000601	-0.000099	0.000334
18	-0.000264	0.000601	0.000168	0.000099
19	-0.000264	0.000270	0.000003	0.000168
20	-0.000264	0.000066	-0.000099	0.000003
21	-0.000138	0.000066	-0.000036	0.000099
22	-0.000060	0.000066	0.000003	0.000036
23	-0.000060	0.000018	-0.000021	0.000003
24	-0.000030	0.000018	-0.000006	0.000021
25	-0.000012	0.000018	0.000003	0.000006
26	-0.000012	0.000006	-0.000003	0.000003
27	-0.000005	0.000006	0.000001	0.000003
28	-0.000005	0.000002	-0.000001	0.000001
