1	-0.500000	0.427051	-0.036475	0.167320
2	-0.500000	0.072949	-0.213525	0.130845
3	-0.281153	0.072949	-0.104102	0.046206
4	-0.281153	-0.062306	-0.171729	0.063218
5	-0.197561	-0.062306	-0.129933	0.004410
6	-0.197561	-0.113969	-0.155765	0.037386
7	-0.197561	-0.145898	-0.171729	0.011555
8	-0.177827	-0.145898	-0.161863	0.004410
9	-0.177827	-0.158094	-0.167961	0.005457
10	-0.170290	-0.158094	-0.164192	0.000641
11	-0.170290	-0.162752	-0.166521	0.003128
12	-0.170290	-0.165631	-0.167961	0.000799
13	-0.168511	-0.165631	-0.167071	0.000641
14	-0.168511	-0.166731	-0.167621	0.000249
15	-0.167831	-0.166731	-0.167281	0.000301
16	-0.167831	-0.167151	-0.167491	0.000039
17	-0.167571	-0.167151	-0.167361	0.000171
18	-0.167411	-0.167151	-0.167281	0.000041
19	-0.167411	-0.167250	-0.167331	0.000039
20	-0.167350	-0.167250	-0.167300	0.000011
21	-0.167350	-0.167288	-0.167319	0.000020
22	-0.167350	-0.167312	-0.167331	0.000001
23	-0.167335	-0.167312	-0.167323	0.000011
24	-0.167326	-0.167312	-0.167319	0.000004
25	-0.167326	-0.167317	-0.167322	0.000001
